example_id,rate,method,doc_token_index,relative_position,position_bin,token_id,token_text_repr,token_category,selected_times,n_queries
0,0.3,global_top,660,0.5641025641025641,50-60%,279,' the',latin_word,34,34
0,0.3,global_top,662,0.5658119658119658,50-60%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,687,0.5871794871794872,50-60%,22356,' Routes',latin_word,34,34
0,0.3,global_top,690,0.5897435897435898,50-60%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,691,0.5905982905982906,50-60%,576,' The',latin_word,34,34
0,0.3,global_top,694,0.5931623931623932,50-60%,279,' the',latin_word,34,34
0,0.3,global_top,702,0.6,60-70%,624,'.\n',punct_or_symbol,34,34
0,0.3,global_top,704,0.6017094017094017,60-70%,25,':',punct_or_symbol,34,34
0,0.3,global_top,708,0.6051282051282051,60-70%,25,':',punct_or_symbol,34,34
0,0.3,global_top,718,0.6136752136752137,60-70%,11,"','",punct_or_symbol,34,34
0,0.3,global_top,740,0.6324786324786325,60-70%,220,' ',space,34,34
0,0.3,global_top,745,0.6367521367521367,60-70%,17,'2',number,34,34
0,0.3,global_top,749,0.6401709401709401,60-70%,8,')',punct_or_symbol,34,34
0,0.3,global_top,752,0.6427350427350428,60-70%,220,' ',space,34,34
0,0.3,global_top,756,0.6461538461538462,60-70%,220,' ',space,34,34
0,0.3,global_top,779,0.6658119658119658,60-70%,75780,' \ufeff',punct_or_symbol,34,34
0,0.3,global_top,782,0.6683760683760683,60-70%,220,' ',space,34,34
0,0.3,global_top,785,0.6709401709401709,60-70%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,792,0.676923076923077,60-70%,220,' ',space,34,34
0,0.3,global_top,794,0.6786324786324787,60-70%,13,'.',punct_or_symbol,34,34
0,0.3,global_top,795,0.6794871794871795,60-70%,23,'8',number,34,34
0,0.3,global_top,811,0.6931623931623931,60-70%,26,';',punct_or_symbol,34,34
0,0.3,global_top,831,0.7102564102564103,70-80%,220,' ',space,34,34
