selector,rate,example_id,sub_question_id,context_len,system_len,doc_len,query_len,selected_tokens,query_system,query_system_last_layer,query_selected_doc,query_selected_doc_last_layer,query_unselected_doc,query_unselected_doc_last_layer,query_query_or_current,query_query_or_current_last_layer,query_doc_total,query_doc_total_last_layer,query_system_first16,query_system_first16_last_layer,query_main_sum,decode_system,decode_system_last_layer,decode_selected_doc,decode_selected_doc_last_layer,decode_unselected_doc,decode_unselected_doc_last_layer,decode_query_or_current,decode_query_or_current_last_layer,decode_doc_total,decode_doc_total_last_layer,decode_system_first16,decode_system_first16_last_layer,decode_main_sum
draft,0.15,19,0,1826,792,1034,17,155,0.47427981240408756,0.1676938032903591,0.12864488341799735,0.14100209404440486,0.117403600968662,0.19809043307264312,0.27967170506966216,0.49321368562073264,0.24604848767815235,0.3390925110889082,0.3066830022745774,0.09179412617402918,1.000000001860409,0.3594688493378309,0.1827127422605242,0.13946174936635153,0.22746874604906356,0.10553375221028617,0.22108086517878942,0.39553565820869135,0.3687376635415213,0.2449954988396897,0.448549611227853,0.27367429406743266,0.09701521056038993,1.00000000912316
draft,0.15,19,1,2372,792,1580,22,237,0.4283892387361828,0.15376027837976233,0.16174037867884025,0.15519350225275214,0.12209989653005225,0.16240658698143898,0.28777048561258967,0.528639657156808,0.28384027366071996,0.31760010161957186,0.2924053794903082,0.08656294934161297,0.9999999995576649,0.33012034029376747,0.07576533726283483,0.16910021341576864,0.16903790405818395,0.11505119228849606,0.280873213495527,0.38572826008407424,0.47432357924325125,0.28415139870984213,0.44991111755371094,0.2616410863452724,0.057745937790189474,1.0000000060821064
draft,0.15,20,0,2311,792,1519,21,227,0.44794305397308026,0.11377527924621997,0.135861846170342,0.10741274048681973,0.1303364508816985,0.14830364824152317,0.28585864990167636,0.6305083190502764,0.26619829403994955,0.2557163887283429,0.30465343365748027,0.06496583199014469,1.000000000926797,0.37685730810068085,0.16941133567265101,0.1315282450950876,0.06674647756985255,0.12334275633400801,0.1897594588143485,0.3682716938914085,0.574082783290318,0.2548709989202266,0.2565058980669294,0.28190723088170794,0.09072972195489067,1.000000003421185
draft,0.15,20,1,3057,792,2265,36,339,0.39937387734584007,0.07690944368877108,0.13037949084154332,0.10325431823730469,0.14014004498652594,0.1343712882390098,0.3301065854745117,0.6854649498349145,0.2705195358280692,0.23762560647631448,0.2883993215656199,0.037614546124897306,0.9999999986484212,0.3413551045315607,0.13825310979570662,0.10226435852902276,0.05847870452063424,0.14875239726840234,0.32543924876621794,0.40762813541353965,0.4778289113725935,0.25101675823026776,0.3839179447719029,0.275756152322972,0.13668442623955862,0.9999999957425254
draft,0.15,21,0,2541,792,1749,22,262,0.440045638960235,0.12046006438019988,0.13920964646206715,0.14319667568454494,0.12163895512334931,0.16089241225998124,0.2991057607813536,0.575450847675274,0.2608486000372439,0.30408908794452616,0.2943724016201075,0.06746998080959568,1.0000000013270052,0.32716810912350003,0.0100069631423269,0.1593234248611392,0.13526647431509836,0.13161554126715175,0.2244732209614345,0.3818929274471439,0.6302533830915179,0.29093896947344955,0.35973971230643137,0.2476347642570582,0.005753689046416964,1.0000000026989349
draft,0.15,21,1,2910,792,2118,16,317,0.43680766893892875,0.0905001163482666,0.1739732607895014,0.19269067900521414,0.11641129364772716,0.1357735139983041,0.2728077729745787,0.581035682133266,0.290384552916702,0.3284642355782645,0.3031438036764763,0.053410351276397705,0.999999996350736,0.3346988240527749,0.0010225462195064341,0.20696944986679114,0.23781493731907435,0.09839080304515604,0.08062597683497838,0.3599409211655053,0.6805365426199776,0.3053602497188413,0.3184408800942557,0.2636938424120486,0.00023159551035080637,0.9999999981302274
draft,0.15,24,0,2348,792,1556,21,233,0.4446176398252258,0.09828675198717182,0.14854292920541717,0.12082565722822332,0.12688654817575615,0.13232345321551472,0.27995289055552725,0.6485641375690901,0.27542947819212094,0.2531490974685773,0.30632945062525646,0.053895444286112884,1.0000000077619264,0.36811517148601763,0.1628441640308925,0.135601068637809,0.08842194931847709,0.12419427497958649,0.17839721270969935,0.372089483300034,0.5703367165156773,0.2597953488632124,0.26681913648332867,0.2758115784702252,0.07455255304064069,0.9999999984034471
draft,0.15,24,1,2789,792,1997,20,299,0.4533969961867041,0.12879507882254465,0.1305500086472959,0.1871877670288086,0.13341122707542105,0.18141820090157645,0.2826417728346221,0.5025990077427456,0.2639612382772017,0.368605967930385,0.3092513249236711,0.0653404917035784,1.0000000047440432,0.35048468213300327,0.06751989041055952,0.14410486163533465,0.1537090880530221,0.10578846163591561,0.29753555570329937,0.3996219969525629,0.4812354700905936,0.24989332167469722,0.451244626726423,0.27780134263638484,0.055118416036878316,1.0000000023568165
draft,0.15,25,0,1581,792,789,21,118,0.47443835589350475,0.1451241888967501,0.08652190645419935,0.10178139096214658,0.13416563676791474,0.16377624200314891,0.3048740930066049,0.589318204088276,0.2206875411368205,0.2655576329652955,0.30190581535111366,0.053555462636104244,0.9999999921222238,0.3487249095829165,0.19989357675824845,0.075121474851455,0.014494471251964569,0.1766302828886071,0.31769973891122,0.39952332572061194,0.4679121971130371,0.25175176256773424,0.3321941920689174,0.2652079296697463,0.17261995588030135,0.9999999930435906
draft,0.15,25,1,1919,792,1127,20,169,0.4547770018480262,0.128826481955392,0.1295307101035605,0.08660858699253628,0.12060239594809863,0.1846649169921875,0.29508989733092644,0.5999000549316407,0.25013310228075303,0.2712735039847238,0.30536174075487926,0.06150775636945452,1.0000000052306117,0.36770607226965374,0.07379106964383807,0.1105690060221419,0.10794157641274589,0.18503296375274655,0.6297144208635602,0.336691963733459,0.18855295862470353,0.29560196703794045,0.7376559802464077,0.2851786660553165,0.053038997309548516,1.0000000057780012
