example,source,kind,layer,rank,original_gap,delta_recovery_error,final_kv_error,explained_variance
66,preprocess,k,55,8,0.5623020284393003,0.8177910054250255,0.4598455411899067,0.3312178714459259
66,preprocess,k,55,16,0.5623020284393003,0.7483224925914491,0.42078325551092516,0.44001344708172047
66,preprocess,k,55,32,0.5623020284393003,0.6749827758842287,0.3795441840412915,0.544398252259621
66,preprocess,k,55,64,0.5623020284393003,0.5997031863477162,0.33721431814483255,0.6403560882843964
66,preprocess,k,56,4,0.5947190059032751,0.8860336604636866,0.5269410577478036,0.21494435252532054
66,preprocess,k,56,8,0.5947190059032751,0.8375900538505003,0.4981307241804402,0.29844290169071597
66,preprocess,k,56,16,0.5947190059032751,0.7715516282269667,0.45885641734219496,0.4047080849803166
66,preprocess,k,56,32,0.5947190059032751,0.69983528181495,0.41620534309702545,0.5102305783269895
66,preprocess,k,56,64,0.5947190059032751,0.6273773571993084,0.37311323819979664,0.6063976516736114
66,preprocess,k,57,4,0.6027865553091695,0.8753909063125331,0.5276738689651037,0.23369076114532186
66,preprocess,k,57,8,0.6027865553091695,0.8165207245452432,0.4921877148871744,0.3332939063881111
66,preprocess,k,57,16,0.6027865553091695,0.7373419151498553,0.4444597931182472,0.4563269001631436
66,preprocess,k,57,32,0.6027865553091695,0.6520859574409472,0.39306864805131025,0.5747839041083231
66,preprocess,k,57,64,0.6027865553091695,0.5721830645720225,0.3449042584996136,0.6726065406169687
66,preprocess,k,58,4,0.6511871126983901,0.8494972260073209,0.5531816458489992,0.27835446300586664
66,preprocess,k,58,8,0.6511871126983901,0.7817070062512939,0.5090375283768825,0.3889341563776396
66,preprocess,k,58,16,0.6511871126983901,0.6908222240109299,0.44985452944155796,0.5227646548125926
66,preprocess,k,58,32,0.6511871126983901,0.594762701262209,0.3873018061756331,0.6462573291872803
66,preprocess,k,58,64,0.6511871126983901,0.5123338017218609,0.33362516908104817,0.7375140756132249
66,preprocess,k,59,4,0.6528226103016165,0.8530893935921535,0.5569160447454528,0.2722384865405718
66,preprocess,k,59,8,0.6528226103016165,0.7777139008013297,0.5077092187889766,0.39516108850037945
66,preprocess,k,59,16,0.6528226103016165,0.6781348862292943,0.4427017865647976,0.5401330760787821
66,preprocess,k,59,32,0.6528226103016165,0.5717794174529581,0.3732705318183778,0.6730682977771558
66,preprocess,k,59,64,0.6528226103016165,0.4835076550105493,0.3156447294448003,0.7662203475461996
66,preprocess,k,60,4,0.5750316403265061,0.8735520683418824,0.5023200787692447,0.23690678389561937
66,preprocess,k,60,8,0.5750316403265061,0.8233367181536209,0.4734446635809188,0.3221166485400251
66,preprocess,k,60,16,0.5750316403265061,0.7556083063331004,0.43449868383505585,0.4290560874004235
66,preprocess,k,60,32,0.5750316403265061,0.6842982971541259,0.39349317228517194,0.5317358405119635
66,preprocess,k,60,64,0.5750316403265061,0.6153675556824182,0.3538558149477735,0.6213227714134459
66,preprocess,k,61,4,0.5514931115425531,0.8907436075881546,0.4912389637354304,0.20657582554083948
66,preprocess,k,61,8,0.5514931115425531,0.846301588828454,0.46672949652641055,0.28377362074643436
66,preprocess,k,61,16,0.5514931115425531,0.7865262556138596,0.433763812018401,0.3813764492300415
66,preprocess,k,61,32,0.5514931115425531,0.7171852231593051,0.39552271027246555,0.48564535568193773
66,preprocess,k,61,64,0.5514931115425531,0.6455644994547702,0.3560243745057221,0.5832464770437119
66,preprocess,k,62,4,0.48315866339031754,0.8647889743347211,0.41783028495424746,0.2521400298691011
66,preprocess,k,62,8,0.48315866339031754,0.8145534783775871,0.39355856987284893,0.3365026308629738
66,preprocess,k,62,16,0.48315866339031754,0.7466955269641735,0.3607724127675389,0.44244579001169515
66,preprocess,k,62,32,0.48315866339031754,0.6705189027299375,0.323967016820939,0.5504044010818405
66,preprocess,k,62,64,0.48315866339031754,0.595471812681669,0.28770736510188477,0.6454133203016073
66,preprocess,k,63,4,0.3921442313696779,0.8436833563931668,0.33084556131218845,0.2881983941451607
66,preprocess,k,63,8,0.3921442313696779,0.8028099288060986,0.31481728246761337,0.355496218210347
66,preprocess,k,63,16,0.3921442313696779,0.7486215082169241,0.29356760592653475,0.43956583743501804
66,preprocess,k,63,32,0.3921442313696779,0.6804115178231865,0.2668194516718494,0.5370401664135475
66,preprocess,k,63,64,0.3921442313696779,0.602893490081171,0.23642120426566332,0.636519439617745
66,preprocess,v,0,4,0.0012708617069969212,0.9004109369827986,0.0011442977803726565,0.18926014456175863
66,preprocess,v,0,8,0.0012708617069969212,0.8567436597769497,0.0010888027099229237,0.26599030143199837
66,preprocess,v,0,16,0.0012708617069969212,0.7890168494128853,0.001002731300094192,0.37745241134256424
66,preprocess,v,0,32,0.0012708617069969212,0.6965493826470655,0.0008852179374385012,0.514818957533992
66,preprocess,v,0,64,0.0012708617069969212,0.5726135877755646,0.0007277126816100853,0.6721136790947958
66,preprocess,v,1,4,0.10443151525180207,0.5332457762756211,0.055687664418086556,0.7156489420842103
66,preprocess,v,1,8,0.10443151525180207,0.45220446186220736,0.04722439715589606,0.7955111246719114
66,preprocess,v,1,16,0.10443151525180207,0.37280354151104017,0.03893243873123602,0.8610175194368261
66,preprocess,v,1,32,0.10443151525180207,0.29532306781968387,0.030841035461220297,0.9127842856135704
66,preprocess,v,1,64,0.10443151525180207,0.22755533339222528,0.023763948269779078,0.9482185702447532
66,preprocess,v,2,4,0.2205637326423373,0.4153391679260196,0.09160875719032542,0.8274933755865217
66,preprocess,v,2,8,0.2205637326423373,0.3384362963240129,0.07464677277887241,0.885460873330485
66,preprocess,v,2,16,0.2205637326423373,0.27163208836926916,0.059912187316159216,0.9262160085681496
