example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
160,0,95,176,176,81,81,145,0.7004830917874396,0.8238636363636364,50,0.44642857142857145,0.6172839506172839
160,1,224,356,356,132,132,293,0.6992840095465394,0.8230337078651685,69,0.35384615384615387,0.5227272727272727
161,0,117,201,201,84,84,160,0.6611570247933884,0.7960199004975125,43,0.344,0.5119047619047619
161,1,177,299,299,122,122,235,0.6473829201101928,0.7859531772575251,58,0.3118279569892473,0.47540983606557374
162,0,136,239,239,103,103,195,0.6890459363957597,0.8158995815899581,59,0.4013605442176871,0.5728155339805825
163,0,55,149,149,94,94,105,0.5440414507772021,0.7046979865771812,50,0.36231884057971014,0.5319148936170213
163,1,269,395,395,126,126,329,0.7136659436008677,0.8329113924050633,60,0.3125,0.47619047619047616
164,0,138,253,253,115,115,187,0.5862068965517241,0.7391304347826086,49,0.27071823204419887,0.4260869565217391
164,1,243,402,402,159,159,310,0.6275303643724697,0.7711442786069652,67,0.26693227091633465,0.42138364779874216
165,0,182,301,301,119,119,234,0.6358695652173914,0.7774086378737541,52,0.27956989247311825,0.4369747899159664
166,0,81,177,177,96,96,139,0.6465116279069767,0.7853107344632768,58,0.43283582089552236,0.6041666666666666
166,1,247,357,357,110,110,296,0.7081339712918661,0.8291316526610645,49,0.28654970760233917,0.44545454545454544
167,0,82,173,173,91,91,138,0.6634615384615384,0.7976878612716763,56,0.4444444444444444,0.6153846153846154
167,1,233,321,321,88,88,278,0.7637362637362637,0.8660436137071651,45,0.3435114503816794,0.5113636363636364
169,0,121,202,202,81,81,176,0.7719298245614035,0.8712871287128713,55,0.514018691588785,0.6790123456790124
169,1,175,283,283,108,108,224,0.6549707602339181,0.7915194346289752,49,0.2934131736526946,0.4537037037037037
173,0,76,181,181,105,105,139,0.6233183856502242,0.7679558011049724,63,0.42857142857142855,0.6
173,1,190,296,296,106,106,238,0.672316384180791,0.8040540540540541,48,0.2926829268292683,0.4528301886792453
174,0,114,185,185,71,71,158,0.7452830188679245,0.8540540540540541,44,0.4489795918367347,0.6197183098591549
174,1,132,222,222,90,90,182,0.6946564885496184,0.8198198198198198,50,0.38461538461538464,0.5555555555555556
176,0,122,209,209,87,87,160,0.6201550387596899,0.7655502392344498,38,0.27941176470588236,0.4367816091954023
178,0,58,143,143,85,85,103,0.5628415300546448,0.7202797202797203,45,0.36,0.5294117647058824
178,1,167,241,241,74,74,204,0.7338129496402878,0.8464730290456431,37,0.3333333333333333,0.5
179,0,55,136,136,81,81,95,0.536723163841808,0.6985294117647058,40,0.32786885245901637,0.49382716049382713
179,1,180,267,267,87,87,220,0.7006369426751592,0.8239700374531835,40,0.29850746268656714,0.45977011494252873
180,0,92,194,194,102,102,136,0.5396825396825397,0.7010309278350515,44,0.275,0.43137254901960786
180,1,202,302,302,100,100,248,0.6966292134831461,0.8211920529801324,46,0.2987012987012987,0.46
183,0,99,205,205,106,106,149,0.5708812260536399,0.7268292682926829,50,0.30864197530864196,0.4716981132075472
183,1,205,312,312,107,107,255,0.6910569105691057,0.8173076923076923,50,0.3048780487804878,0.4672897196261682
186,0,96,180,180,84,84,138,0.6216216216216216,0.7666666666666667,42,0.3333333333333333,0.5
186,1,188,303,303,115,115,247,0.6880222841225627,0.8151815181518152,59,0.34502923976608185,0.5130434782608696
188,0,59,130,130,71,71,95,0.5757575757575758,0.7307692307692307,36,0.33962264150943394,0.5070422535211268
188,1,156,248,248,92,92,212,0.7464788732394366,0.8548387096774194,56,0.4375,0.6086956521739131
191,0,83,163,163,80,80,117,0.5598086124401914,0.7177914110429447,34,0.2698412698412698,0.425
191,1,188,292,292,104,104,239,0.6927536231884058,0.8184931506849316,51,0.3248407643312102,0.49038461538461536
