example_id,sub_q_idx,offline_count,candidate_count,teacher_count,candidate_residual_count,teacher_residual_count,final_intersection,final_jaccard,final_teacher_recall,residual_intersection,residual_jaccard,residual_teacher_recall
155,1,204,306,306,102,102,250,0.6906077348066298,0.8169934640522876,46,0.2911392405063291,0.45098039215686275
156,0,114,192,192,78,78,152,0.6551724137931034,0.7916666666666666,38,0.3220338983050847,0.48717948717948717
156,1,188,290,290,102,102,239,0.7008797653958945,0.8241379310344827,51,0.3333333333333333,0.5
158,0,78,177,177,99,99,117,0.4936708860759494,0.6610169491525424,39,0.24528301886792453,0.3939393939393939
158,1,182,266,266,84,84,231,0.7674418604651163,0.868421052631579,49,0.4117647058823529,0.5833333333333334
160,0,95,176,176,81,81,139,0.6525821596244131,0.7897727272727273,44,0.3728813559322034,0.5432098765432098
160,1,224,356,356,132,132,278,0.6405529953917051,0.7808988764044944,54,0.2571428571428571,0.4090909090909091
161,0,117,201,201,84,84,155,0.6275303643724697,0.7711442786069652,38,0.2923076923076923,0.4523809523809524
161,1,177,299,299,122,122,224,0.5989304812834224,0.7491638795986622,47,0.23857868020304568,0.38524590163934425
162,0,136,239,239,103,103,199,0.7132616487455197,0.8326359832635983,63,0.4405594405594406,0.6116504854368932
163,0,55,149,149,94,94,104,0.5360824742268041,0.697986577181208,49,0.35251798561151076,0.5212765957446809
163,1,269,395,395,126,126,334,0.7324561403508771,0.8455696202531645,65,0.34759358288770054,0.5158730158730159
164,0,138,253,253,115,115,189,0.5962145110410094,0.7470355731225297,51,0.2849162011173184,0.4434782608695652
164,1,243,402,402,159,159,301,0.5984095427435387,0.7487562189054726,58,0.2230769230769231,0.36477987421383645
165,0,182,301,301,119,119,251,0.7150997150997151,0.8338870431893688,69,0.40828402366863903,0.5798319327731093
166,0,81,177,177,96,96,123,0.5324675324675324,0.6949152542372882,42,0.28,0.4375
166,1,247,357,357,110,110,302,0.7330097087378641,0.84593837535014,55,0.3333333333333333,0.5
167,0,82,173,173,91,91,125,0.5656108597285068,0.7225433526011561,43,0.30935251798561153,0.4725274725274725
167,1,233,321,321,88,88,276,0.7540983606557377,0.8598130841121495,43,0.3233082706766917,0.48863636363636365
169,0,121,202,202,81,81,162,0.6694214876033058,0.801980198019802,41,0.33884297520661155,0.5061728395061729
169,1,175,283,283,108,108,231,0.6895522388059702,0.8162544169611308,56,0.35,0.5185185185185185
173,0,76,181,181,105,105,128,0.5470085470085471,0.7071823204419889,52,0.3291139240506329,0.49523809523809526
173,1,190,296,296,106,106,254,0.7514792899408284,0.8581081081081081,64,0.43243243243243246,0.6037735849056604
174,0,114,185,185,71,71,158,0.7452830188679245,0.8540540540540541,44,0.4489795918367347,0.6197183098591549
174,1,132,222,222,90,90,188,0.734375,0.8468468468468469,56,0.45161290322580644,0.6222222222222222
176,0,122,209,209,87,87,169,0.678714859437751,0.8086124401913876,47,0.3700787401574803,0.5402298850574713
178,0,58,143,143,85,85,95,0.4973821989528796,0.6643356643356644,37,0.2781954887218045,0.43529411764705883
178,1,167,241,241,74,74,222,0.8538461538461538,0.921161825726141,55,0.5913978494623656,0.7432432432432432
179,0,55,136,136,81,81,96,0.5454545454545454,0.7058823529411765,41,0.33884297520661155,0.5061728395061729
179,1,180,267,267,87,87,243,0.8350515463917526,0.9101123595505618,63,0.5675675675675675,0.7241379310344828
180,0,92,194,194,102,102,133,0.5215686274509804,0.6855670103092784,41,0.25153374233128833,0.4019607843137255
180,1,202,302,302,100,100,267,0.7922848664688428,0.8841059602649006,65,0.48148148148148145,0.65
183,0,99,205,205,106,106,142,0.5298507462686567,0.6926829268292682,43,0.25443786982248523,0.4056603773584906
183,1,205,312,312,107,107,265,0.7381615598885793,0.8493589743589743,60,0.38961038961038963,0.5607476635514018
186,0,96,180,180,84,84,137,0.6143497757847534,0.7611111111111111,41,0.3228346456692913,0.4880952380952381
186,1,188,303,303,115,115,231,0.616,0.7623762376237624,43,0.22994652406417113,0.3739130434782609
188,0,59,130,130,71,71,100,0.625,0.7692307692307693,41,0.40594059405940597,0.5774647887323944
188,1,156,248,248,92,92,206,0.7103448275862069,0.8306451612903226,50,0.373134328358209,0.5434782608695652
191,0,83,163,163,80,80,130,0.6632653061224489,0.7975460122699386,47,0.415929203539823,0.5875
191,1,188,292,292,104,104,244,0.7176470588235294,0.8356164383561644,56,0.3684210526315789,0.5384615384615384
