part,target,source,kind,context_index,rank,delta_norm2,base_norm2,error_norm2,prediction_norm2,target_prediction_dot,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t2,2,raw,v,43,16,4234870.75949721,24667869.18041992,509358.0753189891,3426391.971442616,3575952.3355928287,0.414337519938854,0.3468099248374434,0.1436963641473266,0.8797228760342468,0.938756849960064
t2,2,raw,v,43,32,4234870.75949721,24667869.18041992,350252.0050831229,3701505.0430274494,3793061.969896041,0.414337519938854,0.2875876517001655,0.1191583543704855,0.9172933425895844,0.9580334766341058
t2,2,raw,v,43,64,4234870.75949721,24667869.18041992,176347.64677860873,3983674.142352253,4021098.6329701617,0.414337519938854,0.204063228728245,0.0845510521019761,0.958358198681004,0.9790001134945878
t2,2,raw,v,44,0,4184242.168264173,24667869.18041992,1052540.7347247612,2576515.463537113,2854108.4724240005,0.4118533355817798,0.5015463224646172,0.2065635258558275,0.7484512864222181,0.8692519870837181
t2,2,raw,v,44,1,4184242.168264173,24667869.18041992,985817.4773276764,2728320.18023785,2963372.469416119,0.4118533355817798,0.4853889113820793,0.1999090422071183,0.7643976047073199,0.8770617440287298
t2,2,raw,v,44,2,4184242.168264173,24667869.18041992,941248.864139636,2791613.544202922,3017303.467896521,0.4118533355817798,0.474289845554197,0.1953378549240632,0.775049142404176,0.882841901675546
t2,2,raw,v,44,4,4184242.168264173,24667869.18041992,877860.3037435439,2888718.773925322,3097550.3547539264,0.4118533355817798,0.4580409423776307,0.188645689951249,0.790198495105812,0.8909582163161425
t2,2,raw,v,44,8,4184242.168264173,24667869.18041992,779203.1556899974,3037882.3043288626,3221460.68554233,0.4118533355817798,0.4315359142629285,0.17772950571252,0.8137767547012584,0.9035640795990338
t2,2,raw,v,44,16,4184242.168264173,24667869.18041992,652083.2795579568,3253778.865134983,3392968.911441095,0.4118533355817798,0.3947690769860316,0.1625869611412375,0.8441573758555967,0.9195544649574656
t2,2,raw,v,44,32,4184242.168264173,24667869.18041992,478846.1490725562,3528381.0646444457,3616888.5486829057,0.4118533355817798,0.3382903377181432,0.139326003984304,0.8855596474065446,0.9413236697281772
t2,2,raw,v,44,64,4184242.168264173,24667869.18041992,260160.9514578377,3847406.563988805,3885743.929845154,0.4118533355817798,0.2493518818342658,0.1026964042670362,0.9378236390257104,0.9684600949655854
t2,2,raw,v,45,0,3900166.1044994,24667869.18041992,1188196.9585068985,2576515.463537113,2644242.338009581,0.3976268781953123,0.5519537221142605,0.2194716354325763,0.6953470886442137,0.8341484096698366
t2,2,raw,v,45,1,3900166.1044994,24667869.18041992,1103702.3406059518,2722784.2190129,2759624.028436072,0.3976268781953123,0.5319666788617659,0.2115242498197322,0.7170114525807829,0.8468407605757238
t2,2,raw,v,45,2,3900166.1044994,24667869.18041992,1061801.288103307,2767897.8658621293,2803131.382283777,0.3976268781953123,0.5217711618844867,0.2074702382324693,0.7277548546257128,0.8531528999492615
t2,2,raw,v,45,4,3900166.1044994,24667869.18041992,955626.8282179626,2900463.5895005045,2922501.4321781546,0.3976268781953123,0.4949970548856444,0.1968241336500524,0.7549779156545383,0.8689193564036911
t2,2,raw,v,45,8,3900166.1044994,24667869.18041992,856359.0763047219,3029731.8989771344,3036769.479599804,0.3976268781953123,0.4685828621018317,0.1863211406333758,0.7804301013444558,0.8834219269181514
t2,2,raw,v,45,16,3900166.1044994,24667869.18041992,728371.037812443,3162295.9566545994,3167045.5387168527,0.3976268781953123,0.4321502638587962,0.1718345603294536,0.8132461494467729,0.9018026349286566
t2,2,raw,v,45,32,3900166.1044994,24667869.18041992,557578.6944088272,3333641.687624474,3338114.553428486,0.3976268781953123,0.378104227810311,0.1503444037366631,0.8570371929119684,0.9257638651469364
t2,2,raw,v,45,64,3900166.1044994,24667869.18041992,314532.0440013667,3580825.0552486405,3583229.575801626,0.3976268781953123,0.2839820544934814,0.112918897791734,0.9193541927256612,0.9588298159267628
