part,example,target,source,kind,context_index,prefix_tokens,layer,rank,original_gap,delta_norm2,base_norm2,error_norm2,prediction_norm2,target_prediction_dot,delta_recovery_error,final_kv_error,explained_delta_energy,cosine
t3,0,3,preprocess,k,41,102,27,4,0.1869683526015548,9133.919921875,261288.921875,2978.205810546875,5836.03662109375,5995.8759765625,0.5710166258104638,0.10676203783588085,0.6739400130480329,0.8212304365526958
t3,0,3,preprocess,k,41,102,27,8,0.1869683526015548,9133.919921875,261288.921875,2712.429931640625,6103.828125,6262.6591796875,0.5449424804195138,0.10188699782664151,0.7030376930342279,0.8387432337849255
t3,0,3,preprocess,k,41,102,27,16,0.1869683526015548,9133.919921875,261288.921875,2568.21240234375,6318.46875,6442.087890625,0.5302575606205266,0.09914138256373894,0.7188269194047685,0.8479927219299106
t3,0,3,preprocess,k,41,102,27,32,0.1869683526015548,9133.919921875,261288.921875,2354.87841796875,6563.4140625,6671.22802734375,0.5077566790643682,0.09493442980710129,0.7421831548655242,0.8616130812180564
t3,0,3,preprocess,k,42,959,27,0,0.17169357333714264,7705.05712890625,261377.25,3509.00830078125,3501.54052734375,3848.79443359375,0.6748453600687236,0.11586661132018983,0.5445837399937148,0.7409812277584168
t3,0,3,preprocess,k,42,959,27,1,0.17169357333714264,7705.05712890625,261377.25,2864.11474609375,4730.02294921875,4785.482421875,0.6096874775432775,0.1046794216383142,0.6282811797269157,0.7926950930267542
t3,0,3,preprocess,k,42,959,27,2,0.17169357333714264,7705.05712890625,261377.25,2655.50537109375,5056.15234375,5052.85205078125,0.5870642854636516,0.10079516494987072,0.6553555247330523,0.8095404896080876
t3,0,3,preprocess,k,42,959,27,4,0.17169357333714264,7705.05712890625,261377.25,2463.9453125,5033.884765625,5137.498046875,0.5654934782409548,0.09709159597803924,0.6802171260669468,0.8249205134681881
t3,0,3,preprocess,k,42,959,27,8,0.17169357333714264,7705.05712890625,261377.25,1839.8392333984375,6050.0263671875,5957.62255859375,0.48865461673246596,0.08389885727448898,0.7612166655460468,0.8725823417793055
t3,0,3,preprocess,k,42,959,27,16,0.17169357333714264,7705.05712890625,261377.25,1440.88427734375,6346.5146484375,6305.34375,0.43244075773336915,0.07424729895186374,0.8129949910509895,0.9016815703571245
t3,0,3,preprocess,k,42,959,27,32,0.17169357333714264,7705.05712890625,261377.25,1164.942138671875,6589.18359375,6564.6494140625,0.3888340115598221,0.06676030087972169,0.8488081114542961,0.921314278121023
t3,0,3,preprocess,k,43,742,27,0,0.15220358014101817,6055.76806640625,261408.375,2384.32275390625,3501.54052734375,3586.49267578125,0.6274771349722491,0.0955042663994052,0.6062724450870179,0.7788534587549889
t3,0,3,preprocess,k,43,742,27,1,0.15220358014101817,6055.76806640625,261408.375,2129.98046875,4122.3828125,4024.08544921875,0.5930662278016853,0.09026680313214515,0.6482724494410796,0.805394052176534
t3,0,3,preprocess,k,43,742,27,2,0.15220358014101817,6055.76806640625,261408.375,2051.431884765625,4273.0458984375,4138.69091796875,0.5820280748873173,0.08858675674043434,0.6612433200429633,0.813597486804754
