target,source,kind,layer,rank,subspace_overlap
1,preprocess,k,36,2,0.49525320529937744
1,preprocess,k,36,4,0.3899463713169098
1,preprocess,k,36,8,0.2856062054634094
1,preprocess,k,36,16,0.19238106906414032
1,preprocess,k,36,32,0.1082276701927185
1,preprocess,k,37,1,0.6872464418411255
1,preprocess,k,37,2,0.5215319395065308
1,preprocess,k,37,4,0.4047468602657318
1,preprocess,k,37,8,0.30357813835144043
1,preprocess,k,37,16,0.19623374938964844
1,preprocess,k,37,32,0.11093311011791229
1,preprocess,k,38,1,0.6578698754310608
1,preprocess,k,38,2,0.5226698517799377
1,preprocess,k,38,4,0.4076903164386749
1,preprocess,k,38,8,0.30593714118003845
1,preprocess,k,38,16,0.21202737092971802
1,preprocess,k,38,32,0.11728958785533905
1,preprocess,k,39,1,0.60048907995224
1,preprocess,k,39,2,0.539148211479187
1,preprocess,k,39,4,0.4120984673500061
1,preprocess,k,39,8,0.330319344997406
1,preprocess,k,39,16,0.22515372931957245
1,preprocess,k,39,32,0.12534219026565552
1,preprocess,k,40,1,0.49324196577072144
1,preprocess,k,40,2,0.5269830226898193
1,preprocess,k,40,4,0.3975139260292053
1,preprocess,k,40,8,0.29669296741485596
1,preprocess,k,40,16,0.19411978125572205
1,preprocess,k,40,32,0.1106032133102417
1,preprocess,k,41,1,0.2574581205844879
1,preprocess,k,41,2,0.5179340243339539
1,preprocess,k,41,4,0.39240404963493347
1,preprocess,k,41,8,0.3101820945739746
1,preprocess,k,41,16,0.21518364548683167
1,preprocess,k,41,32,0.12274616956710815
1,preprocess,k,42,1,0.16270160675048828
1,preprocess,k,42,2,0.4981277883052826
1,preprocess,k,42,4,0.37633296847343445
1,preprocess,k,42,8,0.3120211660861969
1,preprocess,k,42,16,0.20958326756954193
1,preprocess,k,42,32,0.11947862803936005
1,preprocess,k,43,1,0.31745076179504395
1,preprocess,k,43,2,0.5162328481674194
1,preprocess,k,43,4,0.37296584248542786
1,preprocess,k,43,8,0.3174419403076172
1,preprocess,k,43,16,0.19259032607078552
1,preprocess,k,43,32,0.11140669882297516
1,preprocess,k,44,1,0.4689292013645172
1,preprocess,k,44,2,0.5323234796524048
1,preprocess,k,44,4,0.3755423426628113
1,preprocess,k,44,8,0.30822616815567017
1,preprocess,k,44,16,0.18914289772510529
1,preprocess,k,44,32,0.10755693167448044
1,preprocess,k,45,1,0.3306277394294739
1,preprocess,k,45,2,0.5981009602546692
1,preprocess,k,45,4,0.44591575860977173
1,preprocess,k,45,8,0.3658348321914673
1,preprocess,k,45,16,0.21904045343399048
1,preprocess,k,45,32,0.12730291485786438
1,preprocess,k,46,1,0.3900093138217926
1,preprocess,k,46,2,0.5144275426864624
1,preprocess,k,46,4,0.39068612456321716
1,preprocess,k,46,8,0.3079436421394348
1,preprocess,k,46,16,0.18331260979175568
1,preprocess,k,46,32,0.10486086457967758
1,preprocess,k,47,1,0.44115421175956726
1,preprocess,k,47,2,0.5801507234573364
1,preprocess,k,47,4,0.4264955222606659
1,preprocess,k,47,8,0.33797159790992737
1,preprocess,k,47,16,0.2038724720478058
1,preprocess,k,47,32,0.11935795843601227
1,preprocess,k,48,1,0.402944415807724
1,preprocess,k,48,2,0.5846744775772095
1,preprocess,k,48,4,0.4455491900444031
1,preprocess,k,48,8,0.3482453227043152
1,preprocess,k,48,16,0.2132294774055481
1,preprocess,k,48,32,0.12133806943893433
1,preprocess,k,49,1,0.4716615080833435
1,preprocess,k,49,2,0.5619205236434937
1,preprocess,k,49,4,0.39826586842536926
1,preprocess,k,49,8,0.31922391057014465
1,preprocess,k,49,16,0.19646459817886353
1,preprocess,k,49,32,0.10941347479820251
1,preprocess,k,50,1,0.4126928746700287
1,preprocess,k,50,2,0.5742984414100647
1,preprocess,k,50,4,0.4281070828437805
1,preprocess,k,50,8,0.32959938049316406
1,preprocess,k,50,16,0.20153188705444336
1,preprocess,k,50,32,0.11202873289585114
1,preprocess,k,51,1,0.3856970965862274
1,preprocess,k,51,2,0.5726491212844849
1,preprocess,k,51,4,0.41095760464668274
1,preprocess,k,51,8,0.3119611144065857
1,preprocess,k,51,16,0.19428178668022156
1,preprocess,k,51,32,0.10784200578927994
1,preprocess,k,52,1,0.39658814668655396
1,preprocess,k,52,2,0.5962375998497009
1,preprocess,k,52,4,0.46257591247558594
1,preprocess,k,52,8,0.34770962595939636
1,preprocess,k,52,16,0.2204333245754242
1,preprocess,k,52,32,0.12348625808954239
1,preprocess,k,53,1,0.3992083668708801
1,preprocess,k,53,2,0.5672600269317627
1,preprocess,k,53,4,0.4124687910079956
1,preprocess,k,53,8,0.3203553557395935
1,preprocess,k,53,16,0.20080338418483734
1,preprocess,k,53,32,0.11085352301597595
1,preprocess,k,54,1,0.4470447897911072
1,preprocess,k,54,2,0.5818706750869751
1,preprocess,k,54,4,0.4006592333316803
1,preprocess,k,54,8,0.3064599931240082
1,preprocess,k,54,16,0.1896853744983673
1,preprocess,k,54,32,0.10529647767543793
1,preprocess,k,55,1,0.438682496547699
1,preprocess,k,55,2,0.5457697510719299
1,preprocess,k,55,4,0.37015125155448914
1,preprocess,k,55,8,0.28583937883377075
1,preprocess,k,55,16,0.18191972374916077
1,preprocess,k,55,32,0.10142146050930023
1,preprocess,k,56,1,0.4170927405357361
1,preprocess,k,56,2,0.5453470945358276
1,preprocess,k,56,4,0.3672313690185547
1,preprocess,k,56,8,0.2817203402519226
1,preprocess,k,56,16,0.1762789487838745
1,preprocess,k,56,32,0.09729491919279099
1,preprocess,k,57,1,0.415524959564209
1,preprocess,k,57,2,0.5308217406272888
1,preprocess,k,57,4,0.3622475862503052
1,preprocess,k,57,8,0.285781592130661
1,preprocess,k,57,16,0.18632125854492188
1,preprocess,k,57,32,0.10340645164251328
1,preprocess,k,58,1,0.39825645089149475
1,preprocess,k,58,2,0.5278483033180237
1,preprocess,k,58,4,0.3838050365447998
1,preprocess,k,58,8,0.29409635066986084
1,preprocess,k,58,16,0.20105920732021332
1,preprocess,k,58,32,0.11242727935314178
1,preprocess,k,59,1,0.40196120738983154
1,preprocess,k,59,2,0.5385845303535461
1,preprocess,k,59,4,0.37708961963653564
1,preprocess,k,59,8,0.2964932322502136
1,preprocess,k,59,16,0.20515567064285278
1,preprocess,k,59,32,0.11556686460971832
1,preprocess,k,60,1,0.38389942049980164
1,preprocess,k,60,2,0.4573516845703125
1,preprocess,k,60,4,0.31263411045074463
1,preprocess,k,60,8,0.26110559701919556
1,preprocess,k,60,16,0.1725916862487793
1,preprocess,k,60,32,0.09489600360393524
1,preprocess,k,61,1,0.3521909713745117
1,preprocess,k,61,2,0.4258183538913727
1,preprocess,k,61,4,0.2881353795528412
1,preprocess,k,61,8,0.24763120710849762
1,preprocess,k,61,16,0.16510790586471558
1,preprocess,k,61,32,0.09034121036529541
1,preprocess,k,62,1,0.3628550171852112
1,preprocess,k,62,2,0.4329308867454529
1,preprocess,k,62,4,0.29282864928245544
1,preprocess,k,62,8,0.2538083493709564
1,preprocess,k,62,16,0.17055898904800415
1,preprocess,k,62,32,0.0945408046245575
1,preprocess,k,63,1,0.3602912724018097
1,preprocess,k,63,2,0.3636593818664551
1,preprocess,k,63,4,0.270221084356308
1,preprocess,k,63,8,0.23341140151023865
1,preprocess,k,63,16,0.14230822026729584
1,preprocess,k,63,32,0.07785555720329285
2,preprocess,k,0,1,0.9961256384849548
2,preprocess,k,0,2,0.5097410082817078
2,preprocess,k,0,4,0.27613547444343567
2,preprocess,k,0,8,0.14929625391960144
2,preprocess,k,0,16,0.12239816039800644
2,preprocess,k,0,32,0.09978176653385162
2,preprocess,k,1,1,0.39943647384643555
2,preprocess,k,1,2,0.4062538146972656
2,preprocess,k,1,4,0.27707815170288086
2,preprocess,k,1,8,0.25632941722869873
2,preprocess,k,1,16,0.15081462264060974
2,preprocess,k,1,32,0.08090540766716003
2,preprocess,k,2,1,0.17866776883602142
2,preprocess,k,2,2,0.3983619213104248
2,preprocess,k,2,4,0.37596917152404785
2,preprocess,k,2,8,0.27304238080978394
2,preprocess,k,2,16,0.17706960439682007
2,preprocess,k,2,32,0.10627512633800507
2,preprocess,k,3,1,0.6359703540802002
2,preprocess,k,3,2,0.5355995893478394
2,preprocess,k,3,4,0.4588741958141327
2,preprocess,k,3,8,0.31461095809936523
2,preprocess,k,3,16,0.20559415221214294
2,preprocess,k,3,32,0.11622603237628937
2,preprocess,k,4,1,0.13310109078884125
2,preprocess,k,4,2,0.5204607248306274
2,preprocess,k,4,4,0.3974860608577728
2,preprocess,k,4,8,0.30431580543518066
2,preprocess,k,4,16,0.1934581696987152
2,preprocess,k,4,32,0.1061934307217598
2,preprocess,k,5,1,0.13045331835746765
2,preprocess,k,5,2,0.40566709637641907
2,preprocess,k,5,4,0.2979411482810974
2,preprocess,k,5,8,0.2542097568511963
2,preprocess,k,5,16,0.16372570395469666
2,preprocess,k,5,32,0.09059196710586548
2,preprocess,k,6,1,0.11462276428937912
2,preprocess,k,6,2,0.4772190451622009
2,preprocess,k,6,4,0.3234228789806366
2,preprocess,k,6,8,0.29670003056526184
2,preprocess,k,6,16,0.18970173597335815
2,preprocess,k,6,32,0.10959035903215408
2,preprocess,k,7,1,0.09243592619895935
2,preprocess,k,7,2,0.4676082730293274
2,preprocess,k,7,4,0.2968316376209259
2,preprocess,k,7,8,0.25220805406570435
2,preprocess,k,7,16,0.159013032913208
2,preprocess,k,7,32,0.0900229662656784
2,preprocess,k,8,1,0.078337661921978
2,preprocess,k,8,2,0.4502912163734436
2,preprocess,k,8,4,0.2854880392551422
2,preprocess,k,8,8,0.2338695228099823
2,preprocess,k,8,16,0.14137516915798187
2,preprocess,k,8,32,0.07916279137134552
2,preprocess,k,9,1,0.10014872997999191
2,preprocess,k,9,2,0.45667704939842224
2,preprocess,k,9,4,0.3093864321708679
2,preprocess,k,9,8,0.24345870316028595
2,preprocess,k,9,16,0.1487216353416443
2,preprocess,k,9,32,0.08193161338567734
2,preprocess,k,10,1,0.10704263299703598
2,preprocess,k,10,2,0.4781724214553833
2,preprocess,k,10,4,0.3185773193836212
2,preprocess,k,10,8,0.24431747198104858
2,preprocess,k,10,16,0.14586538076400757
2,preprocess,k,10,32,0.08101723343133926
