example,target,source,kind,rank,original_gap,delta_recovery_error,final_kv_error,explained_delta_energy
2,9,preprocess,k,8,0.21958167697332717,0.7597965867691867,0.1668374086813881,0.4227091467338938
2,9,preprocess,k,16,0.21958167697332717,0.6302632218172974,0.13839425518125426,0.6027682712244801
2,9,preprocess,k,32,0.21958167697332717,0.5016818699002445,0.11016014629981025,0.7483153014133941
2,9,preprocess,k,64,0.21958167697332717,0.3460903002124622,0.0759950885048547,0.8802215040988478
2,10,preprocess,k,1,0.4129457371577733,0.8667947354794673,0.3579391910070457,0.2486668865450804
2,10,preprocess,k,2,0.4129457371577733,0.829010207742784,0.3423362313476627,0.31274207545826604
2,10,preprocess,k,4,0.4129457371577733,0.7894294147185867,0.32599151159499634,0.37680119917706956
2,10,preprocess,k,8,0.4129457371577733,0.7349118708585789,0.3034787242576941,0.4599045420711435
2,10,preprocess,k,16,0.4129457371577733,0.6499634792810366,0.2683996480773388,0.5775474756008895
2,10,preprocess,k,32,0.4129457371577733,0.5317845634443167,0.219598168560638,0.7172051780823376
2,10,preprocess,k,64,0.4129457371577733,0.37248409572211155,0.15381571948751394,0.8612555984340808
3,4,preprocess,k,1,0.46031751078496397,0.8585132805048137,0.39518869625780934,0.2629549471968631
3,4,preprocess,k,2,0.46031751078496397,0.8141772879545279,0.37478006252888113,0.33711534377900965
3,4,preprocess,k,4,0.46031751078496397,0.7691728002629594,0.35406370878054577,0.40837320333563754
3,4,preprocess,k,8,0.46031751078496397,0.7044755662163373,0.32428243904953247,0.5037141766041708
3,4,preprocess,k,16,0.46031751078496397,0.6133499033944211,0.28233570077071807,0.6238018960060543
3,4,preprocess,k,32,0.46031751078496397,0.497015033894358,0.22878472322495538,0.7529760560829901
3,4,preprocess,k,64,0.46031751078496397,0.3441372174181983,0.158412387290409,0.8815695755876597
3,5,preprocess,k,1,0.2429289397771994,0.9770903866808027,0.2373635317028612,0.045294376255959445
3,5,preprocess,k,2,0.2429289397771994,0.9522275270999178,0.23132362358504743,0.0932627366331753
3,5,preprocess,k,4,0.2429289397771994,0.8849187027063131,0.21497236223745936,0.21691888960057581
3,5,preprocess,k,8,0.2429289397771994,0.7405832885599554,0.1799091131065817,0.4515363927057219
3,5,preprocess,k,16,0.2429289397771994,0.5813710748103624,0.1412318588208122,0.6620076733738439
3,5,preprocess,k,32,0.2429289397771994,0.4441584744418231,0.1078989472892104,0.8027232495815124
3,5,preprocess,k,64,0.2429289397771994,0.3010055710444901,0.07312296424086845,0.9093956462001804
3,6,preprocess,k,1,0.4337071227774492,0.8675151233728818,0.3762474881239765,0.2474175107193336
3,6,preprocess,k,2,0.4337071227774492,0.8310036606325484,0.3604122066704704,0.3094329160153043
3,6,preprocess,k,4,0.4337071227774492,0.7825648793087887,0.3394039621916966,0.3875922096724209
3,6,preprocess,k,8,0.4337071227774492,0.7219471714041046,0.31311363050699215,0.47879228170161237
3,6,preprocess,k,16,0.4337071227774492,0.6334057827345975,0.2747125995804204,0.5987971143983719
3,6,preprocess,k,32,0.4337071227774492,0.5141446145018215,0.22298818144710575,0.7356553153787735
3,6,preprocess,k,64,0.4337071227774492,0.356120906006466,0.1544521735049628,0.8731779003051339
3,7,preprocess,k,1,0.4292803835919205,0.8549692845910281,0.36702154244854635,0.26902752240590566
3,7,preprocess,k,2,0.4292803835919205,0.8146151845683657,0.34969831891131115,0.3364021010706475
3,7,preprocess,k,4,0.4292803835919205,0.7642248875771528,0.3280667528896125,0.4159603212076881
3,7,preprocess,k,8,0.4292803835919205,0.687150110992628,0.29498006323214615,0.527824724962819
3,7,preprocess,k,16,0.4292803835919205,0.5917861248295169,0.25404217467119117,0.6497891824592634
3,7,preprocess,k,32,0.4292803835919205,0.4777207133805123,0.20507613108979222,0.7717829200072144
3,7,preprocess,k,64,0.4292803835919205,0.32966914879634324,0.14152049865371616,0.8913182523318945
3,8,preprocess,k,1,0.42709483396865094,0.8448315964166992,0.3608232104030605,0.2862595736960114
3,8,preprocess,k,2,0.42709483396865094,0.8071661934763534,0.34473651138789113,0.3484827361088939
3,8,preprocess,k,4,0.42709483396865094,0.7579221943789635,0.32370465376943897,0.42555394726777673
3,8,preprocess,k,8,0.42709483396865094,0.6850179158196031,0.2925676130225247,0.530750455006167
3,8,preprocess,k,16,0.42709483396865094,0.5952981217034227,0.25424875245077305,0.6456201462963771
3,8,preprocess,k,32,0.42709483396865094,0.48172358215193817,0.2057416533379658,0.7679423903987049
3,8,preprocess,k,64,0.42709483396865094,0.33362020774096174,0.1424874672337129,0.8886975569868776
3,9,preprocess,k,1,0.4234538884382289,0.8699477161851806,0.3683827431565715,0.2431909711041884
3,9,preprocess,k,2,0.4234538884382289,0.8245178983281498,0.3491453101339713,0.3201702353365308
3,9,preprocess,k,4,0.4234538884382289,0.7762278208758953,0.32869668906383087,0.39747037009825914
3,9,preprocess,k,8,0.4234538884382289,0.7155791824601777,0.30301478729821113,0.48794643362962364
3,9,preprocess,k,16,0.4234538884382289,0.6240572905220791,0.2642594862797999,0.6105524981462412
3,9,preprocess,k,32,0.4234538884382289,0.5049252667741055,0.21381256758620504,0.7450504749730984
3,9,preprocess,k,64,0.4234538884382289,0.34969116448830984,0.1480780833550671,0.8777160894788099
3,10,preprocess,k,1,0.233448919742606,0.9522323998477058,0.22229762508835618,0.09325345668027896
3,10,preprocess,k,2,0.233448919742606,0.9057768180900592,0.21145261971101925,0.17956835581064778
3,10,preprocess,k,4,0.233448919742606,0.8346107606421636,0.19483898047746778,0.30342487822030917
3,10,preprocess,k,8,0.233448919742606,0.7410966940018507,0.17300822263954868,0.45077569013952723
3,10,preprocess,k,16,0.233448919742606,0.6114585069923839,0.14274432792479871,0.6261184942266448
3,10,preprocess,k,32,0.233448919742606,0.47598372900247554,0.11111788735068524,0.773439489724898
3,10,preprocess,k,64,0.233448919742606,0.32450677363150726,0.07575575575343375,0.8946953538672697
