example_id,sub_q_idx,doc_rank,chunk_id,kind,doc_len,full_prompt_len,token,layer0_delta_l2,layer0_base_l2,layer0_relative_l2,layer0_energy_share
0,0,1,2,key,92,968,75,294.5250549316406,560.8367309570312,0.5251529343112965,0.01074336443731812
0,0,1,2,key,92,968,76,304.5345153808594,595.8855590820312,0.5110620835483879,0.01148600160453796
0,0,1,2,key,92,968,77,308.123291015625,588.0873413085938,0.5239413763438574,0.011758308930249817
0,0,1,2,key,92,968,78,293.2342834472656,605.4652099609375,0.48431235787467225,0.01064940393498522
0,0,1,2,key,92,968,79,278.5522766113281,602.5887451171875,0.46225934166287264,0.009609686550341844
0,0,1,2,key,92,968,80,277.3538818359375,603.9067993164062,0.45926603600073457,0.009527178297600766
0,0,1,2,key,92,968,81,288.23931884765625,589.507080078125,0.4889497150898621,0.010289689510665152
0,0,1,2,key,92,968,82,282.51556396484375,605.1298217773438,0.4668676931754229,0.009885089157098329
0,0,1,2,key,92,968,83,296.60546875,580.7272338867188,0.5107483366413942,0.010895674712516411
0,0,1,2,key,92,968,84,294.0548400878906,600.6969604492188,0.48952277013019563,0.010709087997491295
0,0,1,2,key,92,968,85,286.5947570800781,568.843994140625,0.5038196061348026,0.010172607771745047
0,0,1,2,key,92,968,86,282.0397033691406,589.0850830078125,0.47877583647012784,0.00985181609534068
0,0,1,2,key,92,968,87,294.31072998046875,599.87939453125,0.490616501689385,0.010727734187241548
0,0,1,2,key,92,968,88,298.1418151855469,604.8614501953125,0.49290926887351644,0.011008840664506971
0,0,1,2,key,92,968,89,297.31500244140625,609.021728515625,0.48818455651172693,0.010947865853356463
0,0,1,2,key,92,968,90,278.6557312011719,602.0138549804688,0.4628726214452521,0.009616826306149386
0,0,1,2,key,92,968,91,248.96018981933594,566.078369140625,0.4397980975625106,0.007676365204909115
0,0,1,2,value,92,968,0,394.71893310546875,650.0945434570312,0.6071715830846034,0.04159960762827976
0,0,1,2,value,92,968,1,402.43658447265625,361.94232177734375,1.1118804302753582,0.043242245348537454
0,0,1,2,value,92,968,2,383.26531982421875,391.06951904296875,0.9800439593506302,0.03922043438170048
0,0,1,2,value,92,968,3,424.9185485839844,634.782470703125,0.6693923795868484,0.04820861920825845
0,0,1,2,value,92,968,4,364.3479919433594,767.6046142578125,0.47465581260951967,0.03544427292950192
0,0,1,2,value,92,968,5,256.2850646972656,592.4227294921875,0.43260505031086066,0.01753718593474676
0,0,1,2,value,92,968,6,233.88626098632812,485.74127197265625,0.48150378500160423,0.014605712211877259
0,0,1,2,value,92,968,7,219.20651245117188,753.9393920898438,0.29074818844994066,0.012829810610323525
0,0,1,2,value,92,968,8,310.1069641113281,610.8727416992188,0.5076457712759066,0.02567653199656476
0,0,1,2,value,92,968,9,292.049072265625,393.5086669921875,0.7421668104489867,0.022773249853382926
0,0,1,2,value,92,968,10,189.07858276367188,436.902099609375,0.4327710554211633,0.009545485318868273
0,0,1,2,value,92,968,11,183.371826171875,477.2262878417969,0.38424502346916684,0.008977978285720998
0,0,1,2,value,92,968,12,154.67164611816406,575.9262084960938,0.268561568889277,0.006387556448240936
0,0,1,2,value,92,968,13,166.1414031982422,654.1439208984375,0.25398295067858173,0.007370027264000579
0,0,1,2,value,92,968,14,169.68325805664062,644.7186279296875,0.26318963142343993,0.007687609633225692
0,0,1,2,value,92,968,15,132.9776153564453,502.1810302734375,0.26480015639786064,0.00472139602015913
0,0,1,2,value,92,968,16,196.61985778808594,464.5247802734375,0.4232709774327805,0.010322100239353291
0,0,1,2,value,92,968,17,252.22117614746094,474.6304016113281,0.5314054373491286,0.016985425718844187
0,0,1,2,value,92,968,18,399.0591735839844,556.6038208007812,0.7169537086717452,0.04251947707533748
0,0,1,2,value,92,968,19,141.50674438476562,477.45965576171875,0.2963742437232974,0.005346475724210914
0,0,1,2,value,92,968,20,137.66329956054688,392.30621337890625,0.35090777271882095,0.005059990137974243
0,0,1,2,value,92,968,21,133.4591064453125,473.8822937011719,0.281629232025012,0.004755648841628329
0,0,1,2,value,92,968,22,109.3875732421875,417.84490966796875,0.26178989072550785,0.003194841535829368
0,0,1,2,value,92,968,23,106.93650817871094,586.8024291992188,0.1822359670948225,0.003053270890329761
0,0,1,2,value,92,968,24,100.01583862304688,411.2789306640625,0.24318250016250104,0.0026708585783036635
0,0,1,2,value,92,968,25,64.13880157470703,518.547119140625,0.1236894376754084,0.0010983860025467248
0,0,1,2,value,92,968,26,89.93518829345703,539.5036010742188,0.16669988506913525,0.0021595965105136424
0,0,1,2,value,92,968,27,75.96326446533203,467.9743347167969,0.16232356954212543,0.0015407088110737043
0,0,1,2,value,92,968,28,91.84137725830078,507.7854309082031,0.180866507126912,0.0022521127122343055
0,0,1,2,value,92,968,29,95.71766662597656,363.6710205078125,0.2631984987209616,0.002446231502735895
0,0,1,2,value,92,968,30,229.75540161132812,503.4031066894531,0.4564044173709532,0.014094341153333358
0,0,1,2,value,92,968,31,511.9320068359375,497.9191589355469,1.028142817260429,0.06997419165698453
0,0,1,2,value,92,968,32,94.44883728027344,419.05413818359375,0.22538576444958955,0.002381807015969079
0,0,1,2,value,92,968,33,95.04601287841797,415.8039245605469,0.22858373205320168,0.0024120211824458413
0,0,1,2,value,92,968,34,155.729248046875,362.42620849609375,0.42968539359524,0.006475207959781865
0,0,1,2,value,92,968,35,99.33061218261719,534.794189453125,0.18573614699178287,0.0026343868302423266
0,0,1,2,value,92,968,36,111.45018768310547,408.75531005859375,0.27265746753755726,0.0033164613977570024
0,0,1,2,value,92,968,37,113.68720245361328,621.7105712890625,0.1828619420414432,0.0034509327818789174
0,0,1,2,value,92,968,38,80.75528717041016,530.3682250976562,0.15226267967984056,0.0017412265060991101
0,0,1,2,value,92,968,39,157.0413360595703,401.30419921875,0.39132741786727987,0.0065847801715109375
0,0,1,2,value,92,968,40,153.34527587890625,433.0936279296875,0.3540695729280076,0.00627847443416089
0,0,1,2,value,92,968,41,90.8210220336914,379.2608337402344,0.2394684975456676,0.002202348785581424
0,0,1,2,value,92,968,42,93.363525390625,565.8817749023438,0.16498768741357134,0.002327382821985846
0,0,1,2,value,92,968,43,95.75005340576172,499.38433837890625,0.19173619604608322,0.002447886962775083
0,0,1,2,value,92,968,44,126.14950561523438,483.30438232421875,0.26101461155510125,0.00424897768341619
0,0,1,2,value,92,968,45,73.78157806396484,599.2571411132812,0.12312173356315054,0.0014534804861202058
0,0,1,2,value,92,968,46,55.10332489013672,628.778076171875,0.08763556965219994,0.0008107163803929084
0,0,1,2,value,92,968,47,77.89539337158203,758.930419921875,0.10263838597957445,0.0016200815883298282
0,0,1,2,value,92,968,48,82.79328155517578,513.1902465820312,0.16133058277431908,0.001830220976677973
0,0,1,2,value,92,968,49,87.5716323852539,442.9226989746094,0.1977131282455988,0.0020475769609474594
0,0,1,2,value,92,968,50,86.39537048339844,433.3714599609375,0.19935639160729596,0.0019929402610685044
0,0,1,2,value,92,968,51,59.718894958496094,538.7086791992188,0.11085563916896067,0.0009522190370430557
0,0,1,2,value,92,968,52,87.49969482421875,429.0703125,0.20392856899000333,0.0020442142832981626
0,0,1,2,value,92,968,53,86.65645599365234,390.44769287109375,0.22194126787236962,0.002005003686244602
