base_method,example_id,sub_q_idx,doc_len,num_chunks,online_selected,base_selected,residual_size,residual_mapped,nonempty_chunks,nonempty_chunk_frac,top1_chunk_frac,top2_chunk_frac,top3_chunk_frac,entropy_norm,chunks_for_50pct,chunks_for_70pct,chunks_for_80pct,chunks_for_90pct,chunks_for_95pct
freq,128,0,1699,13,280,267,134,134,10,0.7692307692307693,0.35074626865671643,0.5746268656716418,0.7686567164179104,0.6857463146839472,2,3,4,6,7
freq,105,1,3118,14,500,484,264,264,13,0.9285714285714286,0.23106060606060605,0.4166666666666667,0.5643939393939394,0.8416847954523774,3,5,6,9,11
freq,9,1,2759,14,445,489,227,227,11,0.7857142857142857,0.4889867841409692,0.6651982378854625,0.8281938325991189,0.5887577938633479,2,3,3,5,7
freq,186,0,1183,11,200,152,79,79,8,0.7272727272727273,0.34177215189873417,0.5443037974683544,0.7215189873417721,0.7346928714261641,2,3,4,6,7
freq,56,0,1317,12,219,219,58,58,8,0.6666666666666666,0.4482758620689655,0.603448275862069,0.7413793103448276,0.6608663344119607,2,3,4,6,6
freq,129,0,2002,12,322,319,117,117,8,0.6666666666666666,0.4017094017094017,0.6239316239316239,0.7606837606837606,0.6776478863613942,2,3,4,6,7
freq,81,1,1662,15,275,289,160,160,10,0.6666666666666666,0.30625,0.5,0.625,0.7334914335606064,2,4,5,7,9
freq,37,1,1345,13,247,206,180,180,6,0.46153846153846156,0.3,0.5777777777777777,0.75,0.630333378878666,2,3,4,5,5
freq,156,1,1539,13,253,283,102,102,5,0.38461538461538464,0.43137254901960786,0.696078431372549,0.8431372549019608,0.5441512090769614,2,3,3,4,5
freq,109,0,1918,12,318,286,187,187,8,0.6666666666666666,0.37967914438502676,0.5721925133689839,0.7433155080213903,0.6803026029442715,2,3,4,5,6
freq,82,0,1348,11,229,120,126,126,9,0.8181818181818182,0.3333333333333333,0.5873015873015873,0.6984126984126984,0.7407187822392088,2,4,4,6,7
