example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_path
7,10,docgen_draft_smart_mean_score_global,0.15,86,12,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk10_docgen_scores.npz
7,11,docgen_draft_smart_mean_score_global,0.15,140,21,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk11_docgen_scores.npz
7,12,docgen_draft_smart_mean_score_global,0.15,42,6,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk12_docgen_scores.npz
7,13,docgen_draft_smart_mean_score_global,0.15,148,22,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk13_docgen_scores.npz
7,14,docgen_draft_smart_mean_score_global,0.15,137,20,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example007_chunk14_docgen_scores.npz
9,0,docgen_draft_smart_mean_score_global,0.15,205,30,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk00_docgen_scores.npz
9,1,docgen_draft_smart_mean_score_global,0.15,152,22,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk01_docgen_scores.npz
9,2,docgen_draft_smart_mean_score_global,0.15,321,48,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk02_docgen_scores.npz
9,3,docgen_draft_smart_mean_score_global,0.15,212,31,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk03_docgen_scores.npz
9,4,docgen_draft_smart_mean_score_global,0.15,228,34,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk04_docgen_scores.npz
9,5,docgen_draft_smart_mean_score_global,0.15,154,23,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk05_docgen_scores.npz
9,6,docgen_draft_smart_mean_score_global,0.15,139,20,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk06_docgen_scores.npz
9,7,docgen_draft_smart_mean_score_global,0.15,265,39,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk07_docgen_scores.npz
9,8,docgen_draft_smart_mean_score_global,0.15,196,29,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk08_docgen_scores.npz
9,9,docgen_draft_smart_mean_score_global,0.15,126,18,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk09_docgen_scores.npz
9,10,docgen_draft_smart_mean_score_global,0.15,152,22,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk10_docgen_scores.npz
9,11,docgen_draft_smart_mean_score_global,0.15,162,24,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk11_docgen_scores.npz
9,12,docgen_draft_smart_mean_score_global,0.15,333,49,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk12_docgen_scores.npz
9,13,docgen_draft_smart_mean_score_global,0.15,311,46,32,MOTIVATION_EXPERIMENTS/offline_doc_generated_query_calibration/docgen_chunk_draft_smart_full/chunk_score_cache_npz/example009_chunk13_docgen_scores.npz
