example_id,chunk_id,method,chunk_len,selected_count,mean_score_selected
7,12,lexical_idf_entity_per_chunk,42,6,10.615708626212625
7,12,lexical_idf_entity_boundary_per_chunk,42,6,11.5214662019702
7,13,lexical_entity_number_per_chunk,148,22,3.727272727272727
7,13,lexical_idf_entity_per_chunk,148,22,9.98007250520369
7,13,lexical_idf_entity_boundary_per_chunk,148,22,10.452453741694233
7,14,lexical_entity_number_per_chunk,137,20,3.55
7,14,lexical_idf_entity_per_chunk,137,20,10.121706376607326
7,14,lexical_idf_entity_boundary_per_chunk,137,20,10.476888194789147
8,0,lexical_entity_number_per_chunk,47,7,4.214285714285714
8,0,lexical_idf_entity_per_chunk,47,7,10.18013069337842
8,0,lexical_idf_entity_boundary_per_chunk,47,7,10.975137150560633
8,1,lexical_entity_number_per_chunk,73,10,4.075
8,1,lexical_idf_entity_per_chunk,73,10,9.899808040384988
8,1,lexical_idf_entity_boundary_per_chunk,73,10,10.570898949475897
8,2,lexical_entity_number_per_chunk,153,22,4.068181818181818
8,2,lexical_idf_entity_per_chunk,153,22,10.960422055968543
8,2,lexical_idf_entity_boundary_per_chunk,153,22,11.173388446175911
8,3,lexical_entity_number_per_chunk,98,14,4.160714285714286
8,3,lexical_idf_entity_per_chunk,98,14,10.302718255351893
8,3,lexical_idf_entity_boundary_per_chunk,98,14,10.817491466465423
8,4,lexical_entity_number_per_chunk,269,40,4.01875
8,4,lexical_idf_entity_per_chunk,269,40,10.483177994063649
8,4,lexical_idf_entity_boundary_per_chunk,269,40,10.639177994063648
8,5,lexical_entity_number_per_chunk,137,20,4.15
8,5,lexical_idf_entity_per_chunk,137,20,10.69054604132385
8,5,lexical_idf_entity_boundary_per_chunk,137,20,11.085639886044268
8,6,lexical_entity_number_per_chunk,132,19,4.0394736842105265
8,6,lexical_idf_entity_per_chunk,132,19,10.25845901735966
8,6,lexical_idf_entity_boundary_per_chunk,132,19,10.843512524773754
8,7,lexical_entity_number_per_chunk,192,28,4.053571428571429
8,7,lexical_idf_entity_per_chunk,192,28,10.555865207379792
8,7,lexical_idf_entity_boundary_per_chunk,192,28,10.74209897361356
8,8,lexical_entity_number_per_chunk,235,35,4.107142857142857
8,8,lexical_idf_entity_per_chunk,235,35,10.577102394143326
8,8,lexical_idf_entity_boundary_per_chunk,235,35,10.749881614922547
8,9,lexical_entity_number_per_chunk,145,21,4.071428571428571
8,9,lexical_idf_entity_per_chunk,145,21,9.865271412471136
8,9,lexical_idf_entity_boundary_per_chunk,145,21,10.46332577303024
8,10,lexical_entity_number_per_chunk,99,14,4.160714285714286
8,10,lexical_idf_entity_per_chunk,99,14,10.673459349484535
8,10,lexical_idf_entity_boundary_per_chunk,99,14,11.180026498551822
8,11,lexical_entity_number_per_chunk,336,50,4.03
8,11,lexical_idf_entity_per_chunk,336,50,9.924341736780676
8,11,lexical_idf_entity_boundary_per_chunk,336,50,10.227021632284657
8,12,lexical_entity_number_per_chunk,43,6,4.25
8,12,lexical_idf_entity_per_chunk,43,6,9.645269118281616
8,12,lexical_idf_entity_boundary_per_chunk,43,6,10.626418611876504
8,13,lexical_entity_number_per_chunk,33,4,4.1875
8,13,lexical_idf_entity_per_chunk,33,4,10.729250208898591
8,13,lexical_idf_entity_boundary_per_chunk,33,4,11.935006304089676
8,14,lexical_entity_number_per_chunk,63,9,4.25
8,14,lexical_idf_entity_per_chunk,63,9,10.468262287157948
8,14,lexical_idf_entity_boundary_per_chunk,63,9,11.197758410281079
8,15,lexical_entity_number_per_chunk,72,10,4.15
8,15,lexical_idf_entity_per_chunk,72,10,9.614450424292295
8,15,lexical_idf_entity_boundary_per_chunk,72,10,10.298355548153925
8,16,lexical_entity_number_per_chunk,53,7,4.214285714285714
8,16,lexical_idf_entity_per_chunk,53,7,10.92746022015402
8,16,lexical_idf_entity_boundary_per_chunk,53,7,11.910095356596855
8,17,lexical_entity_number_per_chunk,112,16,4.0
8,17,lexical_idf_entity_per_chunk,112,16,9.6714256524163
8,17,lexical_idf_entity_boundary_per_chunk,112,16,10.316512704398956
8,18,lexical_entity_number_per_chunk,127,19,4.078947368421052
8,18,lexical_idf_entity_per_chunk,127,19,10.584000948135039
8,18,lexical_idf_entity_boundary_per_chunk,127,19,10.950477409829867
9,0,lexical_entity_number_per_chunk,205,30,3.941666666666667
9,0,lexical_idf_entity_per_chunk,205,30,8.88391338152938
9,0,lexical_idf_entity_boundary_per_chunk,205,30,9.374678685880761
9,1,lexical_entity_number_per_chunk,152,22,4.068181818181818
9,1,lexical_idf_entity_per_chunk,152,22,8.970895032806792
9,1,lexical_idf_entity_boundary_per_chunk,152,22,9.411138650214518
9,2,lexical_entity_number_per_chunk,321,48,3.7708333333333335
9,2,lexical_idf_entity_per_chunk,321,48,8.966163151777648
9,2,lexical_idf_entity_boundary_per_chunk,321,48,9.277556546106867
9,3,lexical_entity_number_per_chunk,212,31,3.806451612903226
9,3,lexical_idf_entity_per_chunk,212,31,8.863483713201559
9,3,lexical_idf_entity_boundary_per_chunk,212,31,9.186171305789696
9,4,lexical_entity_number_per_chunk,228,34,4.0661764705882355
9,4,lexical_idf_entity_per_chunk,228,34,8.722891373113423
9,4,lexical_idf_entity_boundary_per_chunk,228,34,9.005688870672031
9,5,lexical_entity_number_per_chunk,154,23,3.739130434782609
9,5,lexical_idf_entity_per_chunk,154,23,9.102501023608758
9,5,lexical_idf_entity_boundary_per_chunk,154,23,9.37420019818927
9,6,lexical_entity_number_per_chunk,139,20,3.4
9,6,lexical_idf_entity_per_chunk,139,20,9.087353138669219
9,6,lexical_idf_entity_boundary_per_chunk,139,20,9.636065770520714
9,7,lexical_entity_number_per_chunk,265,39,4.038461538461538
9,7,lexical_idf_entity_per_chunk,265,39,9.269054999809606
9,7,lexical_idf_entity_boundary_per_chunk,265,39,9.589930405007623
9,8,lexical_entity_number_per_chunk,196,29,4.051724137931035
9,8,lexical_idf_entity_per_chunk,196,29,8.795664245312409
9,8,lexical_idf_entity_boundary_per_chunk,196,29,9.227319951365747
9,9,lexical_entity_number_per_chunk,126,18,3.9027777777777777
9,9,lexical_idf_entity_per_chunk,126,18,8.493668644153097
9,9,lexical_idf_entity_boundary_per_chunk,126,18,8.927697777854737
9,10,lexical_entity_number_per_chunk,152,22,4.045454545454546
9,10,lexical_idf_entity_per_chunk,152,22,9.898350311927318
9,10,lexical_idf_entity_boundary_per_chunk,152,22,10.376368295845358
9,11,lexical_entity_number_per_chunk,162,24,4.072916666666667
9,11,lexical_idf_entity_per_chunk,162,24,9.722214152317761
9,11,lexical_idf_entity_boundary_per_chunk,162,24,10.121800784094908
9,12,lexical_entity_number_per_chunk,333,49,3.7346938775510203
