example_id,chunk_id,method,rate,chunk_len,selected_count,n_queries,score_status,status
156,12,docgen_draft_smart_frequency_global,0.2,120,24,32,ok,
156,13,docgen_draft_smart_frequency_global,0.1,219,21,32,ok,
156,13,docgen_draft_smart_frequency_global,0.15,219,32,32,ok,
156,13,docgen_draft_smart_frequency_global,0.2,219,43,32,ok,
156,14,docgen_draft_smart_frequency_global,0.1,108,10,32,ok,
156,14,docgen_draft_smart_frequency_global,0.15,108,16,32,ok,
156,14,docgen_draft_smart_frequency_global,0.2,108,21,32,ok,
156,15,docgen_draft_smart_frequency_global,0.1,93,9,32,ok,
156,15,docgen_draft_smart_frequency_global,0.15,93,13,32,ok,
156,15,docgen_draft_smart_frequency_global,0.2,93,18,32,ok,
156,16,docgen_draft_smart_frequency_global,0.1,274,27,32,ok,
156,16,docgen_draft_smart_frequency_global,0.15,274,41,32,ok,
156,16,docgen_draft_smart_frequency_global,0.2,274,54,32,ok,
157,,,,,,,,skipped_should_test_false
158,0,docgen_draft_smart_frequency_global,0.1,127,12,32,ok,
158,0,docgen_draft_smart_frequency_global,0.15,127,19,32,ok,
158,0,docgen_draft_smart_frequency_global,0.2,127,25,32,ok,
158,1,docgen_draft_smart_frequency_global,0.1,122,12,32,ok,
158,1,docgen_draft_smart_frequency_global,0.15,122,18,32,ok,
158,1,docgen_draft_smart_frequency_global,0.2,122,24,32,ok,
158,2,docgen_draft_smart_frequency_global,0.1,146,14,32,ok,
158,2,docgen_draft_smart_frequency_global,0.15,146,21,32,ok,
158,2,docgen_draft_smart_frequency_global,0.2,146,29,32,ok,
158,3,docgen_draft_smart_frequency_global,0.1,43,4,32,ok,
158,3,docgen_draft_smart_frequency_global,0.15,43,6,32,ok,
158,3,docgen_draft_smart_frequency_global,0.2,43,8,32,ok,
158,4,docgen_draft_smart_frequency_global,0.1,245,24,32,ok,
158,4,docgen_draft_smart_frequency_global,0.15,245,36,32,ok,
158,4,docgen_draft_smart_frequency_global,0.2,245,49,32,ok,
158,5,docgen_draft_smart_frequency_global,0.1,129,12,32,ok,
158,5,docgen_draft_smart_frequency_global,0.15,129,19,32,ok,
158,5,docgen_draft_smart_frequency_global,0.2,129,25,32,ok,
158,6,docgen_draft_smart_frequency_global,0.1,126,12,32,ok,
158,6,docgen_draft_smart_frequency_global,0.15,126,18,32,ok,
158,6,docgen_draft_smart_frequency_global,0.2,126,25,32,ok,
158,7,docgen_draft_smart_frequency_global,0.1,129,12,32,ok,
158,7,docgen_draft_smart_frequency_global,0.15,129,19,32,ok,
158,7,docgen_draft_smart_frequency_global,0.2,129,25,32,ok,
158,8,docgen_draft_smart_frequency_global,0.1,123,12,32,ok,
158,8,docgen_draft_smart_frequency_global,0.15,123,18,32,ok,
158,8,docgen_draft_smart_frequency_global,0.2,123,24,32,ok,
158,9,docgen_draft_smart_frequency_global,0.1,209,20,32,ok,
158,9,docgen_draft_smart_frequency_global,0.15,209,31,32,ok,
158,9,docgen_draft_smart_frequency_global,0.2,209,41,32,ok,
158,10,docgen_draft_smart_frequency_global,0.1,89,8,32,ok,
158,10,docgen_draft_smart_frequency_global,0.15,89,13,32,ok,
158,10,docgen_draft_smart_frequency_global,0.2,89,17,32,ok,
158,11,docgen_draft_smart_frequency_global,0.1,89,8,32,ok,
158,11,docgen_draft_smart_frequency_global,0.15,89,13,32,ok,
158,11,docgen_draft_smart_frequency_global,0.2,89,17,32,ok,
158,12,docgen_draft_smart_frequency_global,0.1,40,4,32,ok,
158,12,docgen_draft_smart_frequency_global,0.15,40,6,32,ok,
158,12,docgen_draft_smart_frequency_global,0.2,40,8,32,ok,
158,13,docgen_draft_smart_frequency_global,0.1,70,7,32,ok,
158,13,docgen_draft_smart_frequency_global,0.15,70,10,32,ok,
158,13,docgen_draft_smart_frequency_global,0.2,70,14,32,ok,
158,14,docgen_draft_smart_frequency_global,0.1,107,10,32,ok,
158,14,docgen_draft_smart_frequency_global,0.15,107,16,32,ok,
158,14,docgen_draft_smart_frequency_global,0.2,107,21,32,ok,
158,15,docgen_draft_smart_frequency_global,0.1,63,6,32,ok,
158,15,docgen_draft_smart_frequency_global,0.15,63,9,32,ok,
158,15,docgen_draft_smart_frequency_global,0.2,63,12,32,ok,
158,16,docgen_draft_smart_frequency_global,0.1,112,11,32,ok,
158,16,docgen_draft_smart_frequency_global,0.15,112,16,32,ok,
158,16,docgen_draft_smart_frequency_global,0.2,112,22,32,ok,
158,17,docgen_draft_smart_frequency_global,0.1,87,8,32,ok,
158,17,docgen_draft_smart_frequency_global,0.15,87,13,32,ok,
158,17,docgen_draft_smart_frequency_global,0.2,87,17,32,ok,
159,,,,,,,,skipped_should_test_false
160,0,docgen_draft_smart_frequency_global,0.1,42,4,32,ok,
160,0,docgen_draft_smart_frequency_global,0.15,42,6,32,ok,
160,0,docgen_draft_smart_frequency_global,0.2,42,8,32,ok,
160,1,docgen_draft_smart_frequency_global,0.1,119,11,32,ok,
160,1,docgen_draft_smart_frequency_global,0.15,119,17,32,ok,
160,1,docgen_draft_smart_frequency_global,0.2,119,23,32,ok,
160,2,docgen_draft_smart_frequency_global,0.1,95,9,32,ok,
160,2,docgen_draft_smart_frequency_global,0.15,95,14,32,ok,
160,2,docgen_draft_smart_frequency_global,0.2,95,19,32,ok,
160,3,docgen_draft_smart_frequency_global,0.1,170,17,32,ok,
160,3,docgen_draft_smart_frequency_global,0.15,170,25,32,ok,
160,3,docgen_draft_smart_frequency_global,0.2,170,34,32,ok,
160,4,docgen_draft_smart_frequency_global,0.1,157,15,32,ok,
160,4,docgen_draft_smart_frequency_global,0.15,157,23,32,ok,
