example_id,sub_idx,doc_len,query_len,selected_count,key_relative_l2,value_relative_l2,value_over_key_relative_l2,key_cosine,value_cosine,key_token_rel_mean,value_token_rel_mean,key_token_rel_p90,value_token_rel_p90,key_diff_norm,value_diff_norm
78,0,2653,28,279,0.16553038358688354,0.7582563161849976,4.580768193426093,0.9869321584701538,0.7315994501113892,0.16488349437713623,0.8044503331184387,0.1843671351671219,1.4277572631835938,3146.813232421875,1924.774658203125
78,1,3000,32,331,0.16912126541137695,0.8249295353889465,4.877739847661848,0.986463725566864,0.6852560043334961,0.1685633808374405,0.8627395629882812,0.18595409393310547,1.4459202289581299,3502.964599609375,2232.09423828125
79,0,1677,23,132,0.16978025436401367,0.8737945556640625,5.14662060633668,0.9858719706535339,0.653471827507019,0.169225811958313,0.9021894931793213,0.1861204206943512,1.6413822174072266,2218.703857421875,1528.1595458984375
79,1,2582,23,268,0.170362189412117,0.9151057600975037,5.371530873428921,0.9861291646957397,0.6203769445419312,0.16972431540489197,0.9673562049865723,0.1895129680633545,1.571296215057373,3173.837158203125,2206.252685546875
80,0,2055,28,189,0.1672545075416565,0.8166420459747314,4.8826310152894115,0.9865318536758423,0.6906152963638306,0.16668103635311127,0.8555964827537537,0.18508489429950714,1.4462319612503052,2615.587646484375,1700.147705078125
80,1,2361,34,235,0.16574065387248993,0.8063958883285522,4.865407909782203,0.986883282661438,0.6986757516860962,0.1651565283536911,0.8275670409202576,0.18463174998760223,1.4250433444976807,2891.108154296875,1906.793701171875
80,2,2169,34,206,0.16712012887001038,0.8476578593254089,5.072146994211949,0.986579179763794,0.6688607931137085,0.16649894416332245,0.8827692270278931,0.1860595941543579,1.5747238397598267,2727.670166015625,1840.060791015625
81,0,2122,23,199,0.17019061744213104,0.9309166073799133,5.469846818617823,0.9860620498657227,0.6168661117553711,0.16957399249076843,1.0183947086334229,0.18984147906303406,1.715338110923767,2731.53125,1893.241455078125
82,0,2123,30,199,0.17063339054584503,0.8750093579292297,5.128007801550471,0.9859783053398132,0.6522347331047058,0.17006583511829376,0.9220753312110901,0.18725290894508362,1.6665229797363281,2738.5966796875,1824.939208984375
82,1,2423,27,244,0.1726704239845276,0.9271005392074585,5.3691913056584815,0.9857380390167236,0.6104627251625061,0.17211562395095825,0.9997954964637756,0.18953222036361694,1.7284207344055176,3068.812744140625,2079.062744140625
83,0,2108,28,197,0.1678260713815689,0.865832507610321,5.159106094050235,0.9864497780799866,0.6631437540054321,0.16725236177444458,0.9240798354148865,0.18470624089241028,1.6119804382324219,2680.2666015625,1731.3778076171875
83,1,2434,33,246,0.1707211583852768,0.9090331196784973,5.324665836800981,0.9860625267028809,0.6317469477653503,0.17015671730041504,0.9574487209320068,0.1898323893547058,1.5703840255737305,3047.16357421875,2044.2364501953125
85,0,2067,28,191,0.1671406477689743,0.8204823732376099,4.908933788307382,0.9865526556968689,0.6906396150588989,0.16652432084083557,0.8544520735740662,0.18406276404857635,1.5404529571533203,2628.604736328125,1672.4100341796875
85,1,2048,23,188,0.17082975804805756,0.8852441906929016,5.182025665801646,0.98592609167099,0.6463825106620789,0.17020457983016968,0.9543757438659668,0.1904376894235611,1.6886205673217773,2664.513427734375,1791.8848876953125
86,0,2843,32,307,0.16809257864952087,0.8069530129432678,4.800646283266279,0.9866018295288086,0.6966471672058105,0.1674700230360031,0.8457014560699463,0.1852153092622757,1.685941219329834,3350.9912109375,2193.5576171875
87,0,1640,26,127,0.1692516952753067,0.9043242335319519,5.343073415339355,0.9859687089920044,0.6320705413818359,0.1684805452823639,0.9664534330368042,0.18915538489818573,1.9385018348693848,2169.098388671875,1475.1051025390625
87,1,2183,30,208,0.16921617090702057,0.8610039353370667,5.088189448543162,0.9862350225448608,0.6629945039749146,0.16868232190608978,0.9313388466835022,0.18547898530960083,1.6735323667526245,2775.88525390625,1824.0584716796875
89,0,2190,25,209,0.16790072619915009,0.7487162351608276,4.459279314065041,0.9864391088485718,0.7325686812400818,0.16737689077854156,0.7831423878669739,0.18386858701705933,1.402633547782898,2761.939453125,1696.278076171875
89,1,1732,38,141,0.16760309040546417,0.8054927587509155,4.805954095461291,0.9862417578697205,0.6976615190505981,0.16705667972564697,0.838394284248352,0.18344926834106445,1.4863346815109253,2263.53076171875,1492.878173828125
89,2,1880,27,163,0.17093558609485626,0.8560519814491272,5.008038413774621,0.9857267141342163,0.6592799425125122,0.1704133152961731,0.9222850203514099,0.1884748488664627,1.5960654020309448,2482.73779296875,1721.4893798828125
90,0,2092,25,195,0.16831988096237183,0.8633979558944702,5.129506692571596,0.9863632321357727,0.6573825478553772,0.16764573752880096,0.9075068831443787,0.18732745945453644,1.621134638786316,2674.689453125,1756.9039306640625
90,1,2414,24,243,0.17107568681240082,0.9042023420333862,5.285393610721764,0.9860068559646606,0.636813759803772,0.17047609388828278,0.9871938228607178,0.18947410583496094,1.7103815078735352,3034.384521484375,2089.229736328125
91,0,2412,23,243,0.16711392998695374,0.8330786824226379,4.985094195814135,0.9866650700569153,0.68631511926651,0.1665155589580536,0.8768188953399658,0.18568658828735352,1.5551307201385498,2965.142578125,1839.8046875
91,1,1983,28,178,0.17077815532684326,0.9289371967315674,5.4394380531180015,0.9858329892158508,0.6107286214828491,0.17016546428203583,0.993564248085022,0.1912783533334732,1.6208463907241821,2592.83251953125,1775.2757568359375
